"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.207624970E-3,1.099463654E0,3.133583679E0,9.834548950E0,1.038010212E1
8.797375020E-3,4.757107544E-1,3.247945862E0,9.584568787E0,1.013111109E1
1.880237501E-2,-7.319778442E-2,3.045716400E0,9.019044800E0,9.519711939E0
2.880637499E-2,1.743873596E-1,3.018173676E0,8.834029541E0,9.337015648E0
3.881137504E-2,3.216810608E-1,2.896027679E0,8.689879303E0,9.165394554E0
4.881637503E-2,5.203179932E-1,2.756517792E0,8.638536072E0,9.082589202E0
5.882037501E-2,6.674620056E-1,2.723137207E0,8.502469025E0,8.952818623E0
6.882537500E-2,7.405101013E-1,2.451901245E0,8.096064148E0,8.491550483E0
7.883037499E-2,8.885522461E-1,2.279759216E0,7.833061066E0,8.206319080E0
8.883437503E-2,1.105002136E0,2.228266296E0,7.817044373E0,8.203193472E0
9.883937502E-2,1.231638794E0,2.136956177E0,7.694748688E0,8.080388183E0
1.088443750E-1,1.370849304E0,2.025438080E0,7.403454437E0,7.796971517E0
1.188483750E-1,1.482517090E0,1.935475159E0,7.107669525E0,7.514179070E0
1.288533750E-1,1.583407288E0,1.848356323E0,6.881340179E0,7.299071338E0
1.388583750E-1,1.634151764E0,1.768422546E0,6.619534607E0,7.043863194E0
1.488623750E-1,1.689985657E0,1.614991608E0,6.274801483E0,6.696072212E0
1.588673750E-1,1.734443207E0,1.483864288E0,5.859415283E0,6.288314077E0
1.688723750E-1,1.773362274E0,1.197958832E0,5.311704254E0,5.726615161E0
1.788763750E-1,2.022294617E0,9.831555176E-1,4.855602722E0,5.350995056E0
1.888813750E-1,2.242786102E0,7.909552002E-1,4.594695282E0,5.173676098E0
1.988863750E-1,2.426304474E0,6.328839111E-1,4.451742554E0,5.109354872E0
2.088903750E-1,2.502795410E0,5.089416504E-1,4.463567963E0,5.142610760E0
2.188953750E-1,2.519410858E0,4.041595459E-1,4.407285004E0,5.092635576E0
2.289003750E-1,2.456691284E0,2.670446777E-1,4.341272278E0,4.995326808E0
2.389043750E-1,2.542013855E0,2.007325745E-1,4.258195038E0,4.963300614E0
2.489093750E-1,2.766546936E0,1.261875916E-1,4.213737488E0,5.042349539E0
2.589133750E-1,3.041375427E0,-4.281097412E-2,4.201612701E0,5.187036395E0
