"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.577874995E-3,-4.086502075E-1,1.734742584E0,8.151299286E0,8.343860430E0
1.158387499E-2,-5.269042969E-1,1.868713989E0,8.259973297E0,8.485097464E0
2.158887498E-2,-7.102729797E-1,1.895807648E0,8.375982056E0,8.617171795E0
3.159387497E-2,-7.685018921E-1,1.878294067E0,8.488697662E0,8.727919097E0
4.159987502E-2,-7.135661316E-1,1.967508545E0,8.511450348E0,8.764990218E0
5.160487501E-2,-6.283932495E-1,2.242486725E0,8.731792145E0,9.037024889E0
6.160987500E-2,-7.391629028E-1,2.466421051E0,9.032816162E0,9.392622766E0
7.161587500E-2,-7.595205688E-1,2.655627594E0,9.364526367E0,9.763379717E0
8.162087499E-2,-4.685256958E-1,2.980601807E0,9.128167877E0,9.613893709E0
9.162687499E-2,-4.674778748E-1,2.789299622E0,9.107959900E0,9.536962907E0
1.016318750E-1,-7.406597900E-1,2.263742523E0,9.113049316E0,9.419170610E0
1.116368750E-1,-7.017407227E-1,2.088606720E0,8.855435028E0,9.125428626E0
1.216428750E-1,-6.764433289E-1,1.943258972E0,8.621172180E0,8.863319963E0
1.316478750E-1,-8.692424011E-1,1.938768311E0,8.593030701E0,8.851812331E0
1.416528750E-1,-8.619076538E-1,2.052082672E0,8.959917755E0,9.232229107E0
1.516588750E-1,-6.095324707E-1,2.083217926E0,9.837093658E0,1.007371522E1
1.616638750E-1,-3.734733582E-1,1.849553833E0,1.069750443E1,1.086263930E1
1.716688750E-1,-3.278182983E-1,1.607656860E0,1.127425507E1,1.139301772E1
1.816748750E-1,-5.267546082E-1,1.339414673E0,1.133682495E1,1.142782140E1
1.916798750E-1,-6.487509155E-1,9.145980835E-1,1.101005447E1,1.106700804E1
2.016858750E-1,-5.803431702E-1,5.703140259E-1,1.052042267E1,1.055184104E1
2.116908750E-1,-5.105882263E-1,4.888833618E-1,9.869725800E0,9.895008572E0
2.216958750E-1,-4.863386536E-1,5.719606018E-1,9.544302521E0,9.573785815E0
2.317018750E-1,-8.801696777E-2,8.628057861E-1,9.608968048E0,9.648028180E0
2.417068750E-1,5.007087708E-1,1.146166534E0,1.002420456E1,1.010193467E1
2.517118750E-1,2.676434326E-1,1.248553619E0,1.015458344E1,1.023455343E1
2.617132917E-1,-1.748364258E-1,1.394500122E0,1.018976028E1,1.028622443E1
2.717182917E-1,-2.984793091E-1,1.338067474E0,1.019200562E1,1.028379759E1
2.817232917E-1,-3.996688843E-1,1.125060425E0,9.733059998E0,9.806016168E0
2.917292917E-1,-4.805007935E-1,1.031504974E0,9.469458160E0,9.537584672E0
3.017342917E-1,-3.885919189E-1,1.050216064E0,9.893077240E0,9.956251038E0
3.117402917E-1,-2.550695801E-1,1.129850464E0,1.025098297E1,1.031621415E1
3.217452916E-1,-1.053808594E-1,1.124012604E0,1.046743286E1,1.052813660E1
3.317502917E-1,1.121168518E-1,1.036444702E0,1.070498886E1,1.075562989E1
3.417562917E-1,2.754272461E-2,8.677455139E-1,1.096574661E1,1.100006089E1
3.517612917E-1,-9.864486694E-2,4.453239441E-1,1.124566452E1,1.125491069E1
3.617662917E-1,-5.212161255E-1,-1.784289551E-1,1.140283768E1,1.141613815E1
3.717722917E-1,-2.356549530E0,-6.179150391E-1,1.256996063E1,1.280386875E1
3.817772917E-1,-3.268153839E0,-2.838098145E-1,1.288191193E1,1.329304451E1
3.917822916E-1,-1.327888641E0,4.698728943E-1,1.058478882E1,1.067810016E1
4.017882916E-1,5.896238708E-1,1.583107910E0,8.356223145E0,8.525277251E0
4.117932917E-1,1.303339691E0,2.598596191E0,6.375841370E0,7.007335420E0
4.217982917E-1,9.987231445E-1,2.998115387E0,6.113287354E0,6.881745858E0
4.318042917E-1,2.724334717E-1,2.430196381E0,7.170987854E0,7.576486075E0
4.418092917E-1,-5.478607178E-2,1.359173584E0,8.052804108E0,8.166884862E0
4.518152917E-1,4.610412598E-2,4.454736328E-1,9.075028381E0,9.086072445E0
4.618202916E-1,2.131567383E-1,3.847000122E-1,1.033376083E1,1.034311572E1
4.718252917E-1,3.305126953E-1,6.882687378E-1,1.168485123E1,1.170976946E1
4.818312917E-1,2.001338196E-1,7.005432129E-1,1.194875244E1,1.197094396E1
4.918362917E-1,1.312770081E-1,6.551875305E-1,1.094508957E1,1.096546807E1
5.018412917E-1,7.828720093E-2,6.876699829E-1,1.018586838E1,1.020935520E1
5.118472917E-1,4.640350342E-3,7.394622803E-1,1.031579819E1,1.034226852E1
5.218522917E-1,1.796264648E-2,8.081694031E-1,1.055185730E1,1.058277624E1
5.318572916E-1,1.017883301E-2,8.816665649E-1,1.043300446E1,1.047019682E1
5.418632916E-1,-2.799179077E-2,9.192384338E-1,1.037971527E1,1.042037773E1
5.518682917E-1,4.685256958E-2,7.210505676E-1,9.802365875E0,9.828961585E0
5.618732917E-1,-2.950364685E-1,8.259823608E-1,8.735384674E0,8.779307420E0
5.718792917E-1,-5.408253479E-1,1.231040039E0,9.282946014E0,9.379820805E0
5.818842917E-1,-2.339634705E-1,1.748963013E0,8.988657990E0,9.160217409E0
5.918902917E-1,8.337661743E-2,1.937570801E0,8.919651489E0,9.128050995E0
6.018952916E-1,6.721023560E-2,1.828298035E0,9.085356903E0,9.267734404E0
6.119002916E-1,-2.083666992E-1,1.740580444E0,9.240434418E0,9.405246684E0
6.219062917E-1,-3.697311401E-1,1.673968964E0,9.322613525E0,9.478923787E0
6.319112917E-1,-2.966830444E-1,1.552421722E0,9.253307648E0,9.387317852E0
6.419162917E-1,-2.103126526E-1,1.522483978E0,9.030421143E0,9.160278101E0
6.519222917E-1,-3.697311401E-1,1.676363983E0,8.796906738E0,8.962838026E0
6.619272917E-1,-4.463717651E-1,2.070943451E0,8.165669403E0,8.436006836E0
6.719322916E-1,-3.230282593E-1,2.111359406E0,8.062533875E0,8.340661741E0
6.819382916E-1,-1.658551025E-1,1.665586395E0,8.500223694E0,8.663457093E0
6.919432917E-1,1.011895752E-1,1.626068573E0,9.144783325E0,9.288778197E0
7.019492917E-1,3.595523071E-1,1.670226746E0,9.951006775E0,1.009660691E1
7.119542917E-1,4.180805969E-1,1.717827759E0,1.060110489E1,1.074751825E1
7.219592917E-1,4.418811035E-1,1.790277100E0,1.102442459E1,1.117757973E1
7.319652917E-1,1.977388000E-1,1.659299469E0,1.103864502E1,1.116441038E1
7.419702917E-1,-7.035369873E-3,1.634301453E0,1.088656128E1,1.100855155E1
