"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.594583155E-4,2.161205750E0,9.334588623E0,2.405797119E0,9.878927818E0
1.016445830E-2,2.129022675E0,9.421408081E0,2.365830231E0,9.944486938E0
2.016845829E-2,2.088756409E0,9.360035706E0,2.341430969E0,9.871953744E0
3.017345833E-2,2.135309601E0,9.324409790E0,2.292333069E0,9.836613031E0
4.017845832E-2,2.194286957E0,9.296417999E0,2.205363922E0,9.803158312E0
5.018245830E-2,2.246378632E0,9.293424225E0,2.119891663E0,9.793257448E0
6.018745829E-2,2.288890228E0,9.265731812E0,1.993853760E0,9.750295241E0
7.019145833E-2,2.282603302E0,9.251810760E0,1.918710022E0,9.720479841E0
8.019645832E-2,2.216590576E0,9.260043640E0,1.849254456E0,9.699557930E0
9.020045830E-2,2.145039368E0,9.242530060E0,1.843566284E0,9.665624265E0
1.002054583E-1,2.132914581E0,9.231153717E0,1.925595703E0,9.668063010E0
1.102094583E-1,2.183958435E0,9.225016479E0,1.904489594E0,9.669420050E0
1.202144583E-1,2.240241394E0,9.201964417E0,1.870061188E0,9.653598266E0
1.302184583E-1,2.307601318E0,9.303902435E0,1.873354340E0,9.767142922E0
1.402234583E-1,2.279160461E0,9.368867340E0,1.876647491E0,9.823036875E0
1.502274583E-1,2.144590302E0,9.386979675E0,1.910926208E0,9.816633535E0
1.602324583E-1,1.979483643E0,9.425150299E0,1.950294342E0,9.826263871E0
1.702364583E-1,1.869761810E0,9.417216797E0,2.065404968E0,9.820686285E0
1.802414583E-1,1.851200409E0,9.413474579E0,2.204465790E0,9.843785655E0
1.902454583E-1,1.891017609E0,9.569001160E0,2.205812988E0,1.000036708E1
2.002504583E-1,1.890269165E0,9.529333649E0,2.261796570E0,9.974820351E0
2.102544583E-1,1.934726715E0,9.512119446E0,2.431393890E0,1.000676072E1
2.202594583E-1,1.972148895E0,9.424551544E0,2.520758057E0,9.953178601E0
2.302634583E-1,1.882784729E0,9.329798584E0,2.493814087E0,9.839163006E0
2.402684583E-1,1.733245697E0,9.291777649E0,2.417772217E0,9.756377146E0
2.502724583E-1,1.707499237E0,9.276210022E0,2.324216766E0,9.714196292E0
2.602774583E-1,1.751956787E0,9.263636169E0,2.120490417E0,9.663373493E0
2.702814583E-1,1.826950836E0,9.252409515E0,1.937121735E0,9.627942242E0
2.802864583E-1,1.938917999E0,9.132508850E0,1.740730133E0,9.496960688E0
2.902904583E-1,2.118993530E0,9.145681458E0,1.650916901E0,9.532006584E0
3.002954583E-1,1.960473175E0,9.365574188E0,1.682650909E0,9.715387230E0
3.102994583E-1,1.686991882E0,9.439221039E0,2.284100189E0,9.857076093E0
3.203044583E-1,1.720372467E0,9.089099121E0,2.872975616E0,9.686350869E0
3.303084583E-1,2.355501709E0,8.427924042E0,3.131338348E0,9.294276293E0
3.403134583E-1,2.908152466E0,8.000562744E0,2.454445953E0,8.859495467E0
3.503174583E-1,3.228935394E0,7.943381653E0,2.548450470E0,8.945274488E0
3.603259583E-1,3.065625000E0,6.722221069E0,2.333497467E0,7.748001237E0
3.703299583E-1,2.766247559E0,6.079308014E0,1.648072815E0,6.879408077E0
3.803349583E-1,2.557282104E0,6.810687103E0,1.745220795E0,7.481373283E0
3.903389583E-1,2.265838165E0,8.065976715E0,1.382525024E0,8.491488586E0
4.003439583E-1,1.640139313E0,9.208850098E0,1.069226532E0,9.414681219E0
4.103479583E-1,1.967059479E0,1.106963058E1,1.358275452E0,1.132479388E1
4.203529583E-1,2.889441376E0,1.328831680E1,2.394121399E0,1.380797060E1
4.303569583E-1,2.428549805E0,1.511631546E1,4.479584656E0,1.595203830E1
4.403619583E-1,6.484515381E-1,1.489342896E1,6.064488831E0,1.609387275E1
4.503669583E-1,-5.418731689E-2,1.193468170E1,5.588778076E0,1.317854332E1
4.603709583E-1,1.412462769E0,9.827214203E0,3.446433105E0,1.050938111E1
4.703759583E-1,2.494113464E0,9.344168701E0,1.276246033E0,9.755147084E0
4.803799583E-1,2.948718109E0,8.923244019E0,1.511856079E-1,9.399046728E0
4.903849583E-1,3.291355591E0,8.491092682E0,2.963836670E-2,9.106731301E0
5.003889583E-1,3.617078247E0,8.454568634E0,3.296145630E-1,9.201718948E0
5.103939583E-1,3.868704987E0,8.685538330E0,7.729925537E-1,9.539547780E0
5.203979583E-1,4.032614136E0,9.025631104E0,1.073567505E0,9.943668376E0
5.304029583E-1,3.962110748E0,9.094487915E0,1.218166809E0,9.994596660E0
5.404069583E-1,3.678750000E0,8.903634796E0,1.322050781E0,9.723977191E0
5.504119583E-1,3.446133728E0,8.701105957E0,1.480571136E0,9.475081711E0
5.604159583E-1,3.331621857E0,8.567583618E0,1.617835693E0,9.333840880E0
