"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.654999997E-3,-5.453459473E0,-4.028572540E0,5.390739899E0,8.661968228E0
1.466000004E-2,-5.541476440E0,-4.474195862E0,5.339396667E0,8.901435082E0
2.466500003E-2,-5.935307465E0,-4.643493805E0,5.581742706E0,9.377940129E0
3.467000002E-2,-6.179599457E0,-3.944297791E0,5.738167419E0,9.309752942E0
4.467400000E-2,-6.174060974E0,-3.292104034E0,5.308560791E0,8.782812508E0
5.467900005E-2,-6.561904449E0,-3.043920135E0,5.200335846E0,8.908845756E0
6.468400004E-2,-7.166197815E0,-3.126099243E0,5.036127319E0,9.299971289E0
7.468900003E-2,-8.014483795E0,-3.558400269E0,5.042114868E0,1.011519082E1
8.469400002E-2,-8.741970978E0,-3.837719421E0,5.336402893E0,1.093742853E1
9.469900001E-2,-8.859476624E0,-3.782334595E0,5.268743591E0,1.097980146E1
1.047040000E-1,-8.775351563E0,-3.718866577E0,5.113067322E0,1.081573951E1
1.147080000E-1,-8.659193115E0,-3.908522186E0,5.098098450E0,1.078187270E1
1.247130000E-1,-8.383167114E0,-4.088448029E0,5.044060822E0,1.060355826E1
1.347180000E-1,-8.003257141E0,-3.920497284E0,4.955445099E0,1.019700250E1
1.447230000E-1,-7.355853424E0,-3.550317078E0,5.123844910E0,9.641945738E0
1.547273750E-1,-6.541696472E0,-2.960842896E0,5.175936584E0,8.851593241E0
1.647323750E-1,-6.035000153E0,-2.631677399E0,5.154980164E0,8.361864222E0
1.747373750E-1,-6.042035522E0,-2.527793427E0,5.601651306E0,8.618261438E0
1.847413750E-1,-6.128256226E0,-2.442470856E0,5.685626678E0,8.709049258E0
1.947463750E-1,-6.606511688E0,-2.291884003E0,5.608237610E0,8.963875170E0
2.047513750E-1,-7.356901245E0,-2.051483917E0,5.701343994E0,9.530892169E0
2.147563750E-1,-8.247249756E0,-1.755549316E0,5.671855316E0,1.016213682E1
2.247613751E-1,-8.837622070E0,-2.001936951E0,5.754333801E0,1.073422903E1
2.347663750E-1,-9.081614685E0,-2.478246460E0,5.971981201E0,1.114818327E1
2.447703750E-1,-8.802744598E0,-2.480042725E0,6.249653778E0,1.107687215E1
2.547753750E-1,-7.885302429E0,-2.483036499E0,6.483168182E0,1.050594757E1
2.647803750E-1,-7.287595367E0,-3.219954071E0,5.922583923E0,9.927444323E0
2.747853750E-1,-6.974895630E0,-3.450325012E0,5.431604919E0,9.489796823E0
2.847903750E-1,-6.508166199E0,-3.564687195E0,4.715643768E0,8.792071327E0
2.947953750E-1,-6.670578461E0,-3.243754578E0,4.505181427E0,8.678434217E0
3.048003750E-1,-7.170239410E0,-2.293081512E0,4.944218445E0,9.006433926E0
3.148043750E-1,-7.877219238E0,-1.396446075E0,4.874762878E0,9.368241974E0
3.248093750E-1,-8.562943268E0,-1.187330933E0,4.661306763E0,9.821483233E0
3.348143750E-1,-8.408165131E0,-1.892963562E0,4.388873291E0,9.671750652E0
3.448193750E-1,-7.509434052E0,-2.820434875E0,3.776197357E0,8.866009200E0
3.548243750E-1,-6.671177216E0,-3.367846527E0,3.590283966E0,8.290786129E0
3.648293750E-1,-5.604495392E0,-2.984344025E0,3.384461975E0,7.195224855E0
3.748343750E-1,-4.513563995E0,-2.583178253E0,3.684887238E0,6.373653880E0
3.848393750E-1,-4.831053772E0,-2.320025482E0,5.065615997E0,7.374419585E0
3.948433750E-1,-5.999074860E0,-2.518961792E0,5.418881378E0,8.467487412E0
4.048483750E-1,-7.501799927E0,-3.604654083E0,4.534221039E0,9.477852796E0
4.148533750E-1,-9.123527527E0,-4.482129364E0,4.774621124E0,1.123054963E1
4.248583750E-1,-9.597142639E0,-4.256249084E0,5.073399811E0,1.166019677E1
4.348633750E-1,-1.015488281E1,-3.680845642E0,4.647984467E0,1.175899780E1
4.448683750E-1,-1.094014984E1,-3.282224579E0,3.900888062E0,1.206966464E1
4.548723750E-1,-1.167961212E1,-2.709814911E0,3.246898041E0,1.242170612E1
4.648773751E-1,-1.110525650E1,-3.437601471E0,4.392914886E0,1.242745054E1
4.748823750E-1,-9.706714783E0,-3.034789124E0,3.495680695E0,1.075407088E1
4.848873750E-1,-8.897048492E0,-3.087629242E0,2.426903229E0,9.725265317E0
4.948923750E-1,-7.740703125E0,-4.264781342E0,2.750230865E0,9.255842186E0
5.048973750E-1,-7.128176880E0,-5.412145386E0,1.931134186E0,9.155954486E0
5.149023750E-1,-8.614585876E0,-4.320465546E0,1.415157166E0,9.740645880E0
5.249073750E-1,-9.030271454E0,-4.646337891E0,1.220112762E0,1.022853526E1
5.349113750E-1,-8.929231567E0,-5.679339752E0,1.935026093E0,1.075780658E1
5.449163750E-1,-8.500972137E0,-5.625002747E0,2.564317474E0,1.051108497E1
5.549213750E-1,-7.861352234E0,-5.621559906E0,2.228865051E0,9.918197121E0
5.649263751E-1,-7.763455811E0,-6.606362000E0,2.992427216E0,1.062402398E1
5.749313750E-1,-5.942941589E0,-7.638615417E0,5.667813721E0,1.121566372E1
5.849363750E-1,-3.078797607E0,-6.156996460E0,4.555476837E0,8.254693776E0
5.949413750E-1,-2.223176880E0,-2.874173126E0,9.865983582E-1,3.765204233E0
6.049453750E-1,-1.838327179E0,-3.381468201E-1,-3.538641357E-1,1.902369553E0
6.149503750E-1,-8.128097534E-2,8.637039185E-2,-1.319805450E0,1.325123718E0
6.249553750E-1,-1.976938934E0,-7.047344971E-1,-7.812254333E-1,2.239475706E0
6.349603750E-1,-3.304677887E0,-1.093326416E0,-5.294490051E-1,3.520876998E0
6.449653750E-1,-3.716172180E0,-1.428778839E0,-6.173162842E-1,4.028948255E0
6.549703750E-1,-3.676504669E0,-1.920955353E0,7.204518127E-1,4.210202711E0
6.649753751E-1,-3.582051086E0,-3.741619263E0,3.447331238E0,6.222129648E0
6.749793750E-1,-4.270170135E0,-1.128009293E1,1.172107590E1,1.681839676E1
